dataset,classifier,score,nr_classes,nr_instances,log_nr_instances,nr_features,log_nr_features,missing_val,nr_categorical_features,dataset_ratio,labels_mean,labels_std,skew_min,skew_std,skew_mean,skew_q1,skew_q3,skew_max,kurtosis_min,kurtosis_std,kurtosis_mean,kurtosis_q1,kurtosis_q3,kurtosis_max,rho_min,rho_max,rho_mean,rho_std,class_entropy,prob_min,prob_mean,prob_std,prob_max,norm_entropy_min,norm_entropy_mean,norm_entropy_std,norm_entropy_max,mi_min,mi_mean,mi_std,mi_max,equiv_nr_feat,noise_signal_ratio
phprAeXmK,xgradient_boosting,0.9574055759001364,2,299285,12.60915158,42,3.737669618,0,29,0.000140334,13.72413793,14.50540102,6.68e-06,8.156020635,5.463484703,0.515946114,7.685924162999999,27.14428712,-2.000013365,289.1951651,128.7746451,-1.080514093,62.73905497,1057.025461,6.74e-06,0.7540477179999999,0.137196534,0.198732939,0.335494981,0.062041198,0.5,0.43795880200000004,0.937958802,6.85e-06,0.01056972,0.019846806,0.17456257600000002,7.480000000000001e-10,0.001769115,0.0055869380000000005,0.03931843,189.6400315,4.974581496
phptd5jYj,adaboost,0.9448621553884712,10,1593,7.37337431,257,5.549076085,0,0,0.16133082199999998,0.0,0.0,0.0037403790000000003,0.552535077,0.853531832,0.463058859,1.099736335,4.646599171,-2.000995594,1.763619043,-0.9643617729999999,-1.78274828,-0.7915753879999999,19.61550943,3.28e-06,0.808770744,0.096753326,0.10616584,3.32181949,0.097300691,0.1,0.0012253119999999999,0.101694915,0.023122305,0.082256636,0.011021343999999999,0.093981099,0.020122634,0.102831286,0.05343898,0.336409044,32.30358808,-0.200081614
phpvcoG8S,bernoulli_nb,0.6346869762543939,2,539383,13.19818117,8,2.079441542,0,3,1.4800000000000002e-05,201.33333330000002,129.6362432,0.062283249000000006,0.55926078,0.544201924,0.07638461,0.868894928,1.493904527,-1.9518084130000002,1.6253822480000002,-0.331927298,-1.0932213020000001,-0.35670463399999996,2.756630583,0.000416281,0.341481075,0.06462466900000001,0.101281425,0.991394387,0.445442292,0.5,0.054557707999999996,0.5545577079999999,3.79e-06,0.0027331879999999997,0.011833556,0.154015249,4.589999999999999e-11,0.00015186100000000002,0.001297965,0.027426671,6528.29289,16.99793368
phpvtdNPU,extra_trees,0.9166666666666666,5,95,4.553876892,22278,10.01135492,0,0,234.50526319999997,0.0,0.0,2.0600000000000003e-05,0.507339918,0.670998277,0.26435792199999997,0.974532497,4.678407043,-1.556999671,2.007589462,0.57895992,-0.710975452,1.16714436,29.98680942,1.0400000000000002e-17,0.9978162079999999,0.098438791,0.078946773,2.181322431,0.052631579000000005,0.2,0.078489903,0.284210526,0.209517877,0.441901231,0.036460648,0.503802675,0.041401776,0.232255087,0.07021743,0.733547898,9.391925302999999,0.9026546870000001
phpxijhaP,libsvm_svc,0.9837837837837838,2,7400,8.909235278999999,21,3.044522438,0,0,0.002837838,0.0,0.0,0.000913402,0.017943767,0.020317581,0.003159963,0.032904592,0.051696212000000005,-2.000538128,0.414676757,-0.156102564,-0.088190774,-0.05253479900000001,0.049161690999999993,0.140794966,0.42280745799999997,0.189385892,0.07177243900000001,0.999999526,0.499594595,0.5,0.000405405,0.500405405,0.178816891,0.19486648199999998,0.005586243,0.20643906399999998,0.078217726,0.087188679,0.0046924029999999995,0.095058459,11.46937349,1.234997527
pokerhand-normalized,random_forest,0.9995899682104764,10,829201,13.62821787,11,2.397895273,0,0,1.3300000000000001e-05,0.0,0.0,0.000134604,0.644949236,0.519393757,0.007968073,0.845677226,2.003005326,-1.359491503,2.552478069,0.197889733,-1.34392904,0.464957644,7.6783295129999996,9.78e-06,0.6957507359999999,0.121325365,0.18972934800000002,1.416953339,2.41e-06,0.1,0.182330477,0.501116135,0.097324157,0.113972332,0.02097148,0.150478886,0.000360849,0.018854055,0.014956642,0.049508514,75.15377199,5.044977206
schizo,extra_trees,0.9882352941176472,2,340,5.828945618,14,2.63905733,1668,3,0.041176471,2.333333333,0.471404521,0.004044445,0.180307446,0.17666464899999998,0.04976129,0.23438331699999998,0.644235695,0.812928047,0.983682818,1.7048397709999998,1.137697893,1.7769409719999998,4.572261194,0.46904276200000006,0.7225924109999999,0.5925420770000001,0.054731375,0.998776608,0.479411765,0.5,0.020588235,0.520588235,0.081480031,0.230471957,0.086596193,0.302570703,9.9e-07,0.01897919,0.010128198,0.03040794,52.62482867,11.1434034
shuttle,adaboost,0.9999310344827588,7,58000,10.96819829,10,2.3025850930000002,0,0,0.00017241400000000002,0.0,0.0,0.368401425,10.27062836,6.960757717999999,1.112703402,5.389420414,31.68785333,0.44839321200000004,2743.351592,1635.930042,2.84352651,1987.6248870000002,7698.224845999999,5.3700000000000004e-05,0.91473127,0.221127023,0.28561020000000004,0.960301361,0.00017241400000000002,0.14285714300000002,0.267696314,0.7859655170000001,0.000498291,0.045702358,0.039702077,0.10683301199999999,0.000338397,0.132756659,0.137867581,0.37995542,7.233545713,-0.655743387
solar-flare_1,adaboost,0.7848101265822784,5,315,5.752572638999999,13,2.5649493569999997,0,0,0.041269841,0.0,0.0,0.307933019,2.11041543,2.58778815,0.67285675,3.966883905,6.513551941,-1.6247322130000001,14.58255378,10.23666746,-0.669505063,13.82390004,40.68463884,0.003660132,0.545019212,0.157248044,0.12432005900000001,2.208989114,0.066666667,0.2,0.0719172,0.27936507899999996,0.018524922,0.099201027,0.07726101099999999,0.286959404,0.011195295,0.146829607,0.20913454899999998,0.6051684070000001,15.04457559,-0.324379945
synthetic_control,libsvm_svc,0.9866666666666668,6,600,6.396929655,61,4.110873863999999,0,1,0.10166666699999999,6.0,0.0,0.0005383930000000001,0.237336606,0.167901572,0.031029447,0.151991559,0.9337733090000001,-1.2148844909999998,0.597967056,-0.557406166,-1.113855505,0.0034164290000000003,0.598319631,0.000520349,0.944773317,0.455649687,0.272938652,2.584962501,0.166666667,0.166666667,0.0,0.166666667,0.289124752,0.328247909,0.018573304,0.359582708,0.039435947,0.602407482,0.23189109600000002,0.967082421,4.2910531160000005,-0.45510652
tumors_C,lda,0.6666666666666666,2,60,4.094344562,7130,8.872066513,0,0,118.83333329999999,0.0,0.0,0.000289462,1.0810590740000001,1.356425847,0.6330173689999999,1.773930689,7.680410703,-1.639509915,6.7605984789999995,4.697973802,1.085644786,5.481004611,59.32870247,5.84e-18,0.990873531,0.19213706600000002,0.14744068800000001,0.934068055,0.35,0.5,0.15,0.65,0.02070321,0.423844247,0.068998218,0.54823884,0.005727244,0.076898025,0.032881757000000005,0.24149443199999998,12.1468406,4.511770232
umistfacescropped,extra_trees,0.9861111111111112,20,575,6.354370041,10305,9.240384492999999,0,0,17.92173913,0.0,0.0,8.01e-05,0.654387087,0.673596449,0.22007582399999998,0.913781324,3.953535823,-1.493906124,2.506871391,0.54409232,-0.634574738,0.519763155,19.99514297,1.72e-18,0.997475041,0.210000572,0.16575065,4.279204622,0.033043478,0.05,0.012381766,0.083478261,0.179496237,0.307690925,0.031343245,0.35695644200000004,0.119524239,0.397721716,0.160328213,1.099390361,10.75929337,-0.226366295
vowel,libsvm_svc,1.0,2,990,6.897704943,14,2.63905733,0,4,0.014141414,45778.0,5.629165125,0.005957425,0.118538945,0.140898221,0.045539462999999995,0.22821849800000002,0.35706042200000004,-0.762139518,0.25964376699999997,-0.391427215,-0.49278653899999997,-0.27608401,0.15243688,0.027340596,0.53481731,0.21129965,0.152454236,0.439496987,0.090909091,0.5,0.409090909,0.9090909090000001,0.035508916,0.13287533,0.117539478,0.30490059199999997,8.329999999999999e-17,0.019543024,0.036633873,0.171312913,22.48868901,5.799118203
wine-quality-red,gradient_boosting,0.6875,6,1599,7.377133712999999,12,2.48490665,0,0,0.00750469,0.0,0.0,0.071287663,1.7260624830000002,1.561004646,0.293203365,1.7438165319999999,5.680346572,-0.788997515,12.97293481,7.641122256,0.679383911,5.787431047999999,41.71578725,0.001917882,0.682978195,0.198028315,0.17916112899999997,1.709061638,0.006253909,0.166666667,0.178264831,0.42589118200000003,0.11520865599999999,0.20331089600000002,0.044206046,0.253467654,0.017456713999999998,0.060623144000000004,0.042697517000000004,0.172255385,28.19157055,2.35368447
